time,v
620,1.6147200266520183
621,1.6527075237698026
622,1.7053699493408203
623,1.7530261145697699
624,1.8077945709228516
625,1.8691603342692058
626,1.9447845882839627
627,2.0493618647257485
628,2.179385291205512
629,2.3271078533596463
630,0.23077752855088976
631,0.35735342237684464
632,0.5433146158854166
633,0.8071438471476237
634,1.1736869812011719
635,1.6244665781656902
636,2.162951363457574
637,2.760863833957248
638,3.4335671530829535
639,4.1377650366889105
640,4.859259393480089
641,5.569595760769314
642,6.230569415622288
643,6.8443648020426435
644,7.391079796685113
645,7.858821021185981
646,8.241116205851236
647,8.538512653774685
648,8.750757641262478
649,8.8876830206977
650,8.9486206902398
651,8.946330812242296
652,8.894122441609701
653,8.812162081400553
654,8.725865152147081
655,8.648419380187988
656,8.588615523444282
657,8.571084870232475
658,8.58553515540229
659,8.607094552781847
660,9.149676428900825
661,9.146337509155273
662,9.15088971455892
663,9.159059524536133
664,9.171205096774631
665,9.16747940911187
666,9.136340883043077
667,9.031809700859917
668,8.854080306159126
669,8.567384613884819
670,8.16441535949707
671,7.656043900383843
672,7.030283610026042
673,6.312882635328505
674,5.539602703518337
675,4.72563001844618
676,3.903547922770182
677,3.107876247829861
678,2.3619874318440757
679,1.6997819476657443
680,1.1304118898179796
681,0.6608666314019097
682,0.29480086432562935
683,0.01872910393608941
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.058160358005099826
693,0.15229754977756077
694,0.23687786526150173
695,0.3159523010253906
696,0.39600690205891925
697,0.46820640563964844
698,0.5831003189086914
699,0.7087294260660807
700,0.8889945348103842
701,1.102908452351888
702,1.377491421169705
703,1.7201259401109483
704,2.107642491658529
705,2.5340996848212347
706,3.0078803168402777
707,3.5104301240709095
708,4.051961898803711
709,4.621986813015408
710,5.2255641089545355
711,5.8390553792317705
712,6.4563873079088
713,7.060136795043945
714,7.651650640699598
715,8.220328225029839
716,8.765430980258518
717,9.304254319932726
718,9.834516313340929
719,10.353926552666557
720,10.20127402411567
721,10.677135255601671
722,11.142011218600803
723,11.58171017964681
724,12.005478541056315
725,12.394447326660156
726,12.756052017211914
727,13.07803683810764
728,13.367127312554253
729,13.61843744913737
730,13.827233844333225
731,14.008268780178494
732,14.145531124538845
733,14.247078365749783
734,14.311614566379124
735,14.324946933322483
736,14.2671267191569
737,14.140321943495008
738,13.939268324110243
739,13.668249977959526
740,13.318678538004557
741,12.906642489963108
742,12.439889907836914
743,11.937616136338976
744,11.412783728705513
745,10.876835717095268
746,10.337938732571072
747,9.8130554623074
748,9.31611696879069
749,8.853662808736166
750,9.258073170979818
751,9.29954104953342
752,9.371051788330078
753,9.471389982435438
754,9.608847300211588
755,9.763465457492405
756,9.921213785807291
757,10.027121437920464
758,10.076971054077148
759,10.02176178826226
760,9.84659088982476
761,9.55624050564236
762,9.123613569471571
763,8.568382263183594
764,7.910775078667535
765,7.148923873901367
766,6.302990383572048
767,5.409216350979275
768,4.501930342780219
769,3.625591066148546
770,2.797608905368381
771,2.0380534066094294
772,1.3639402389526367
773,0.7729890611436632
774,0.27767181396484375
775,0.0
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.06148868136935764
786,0.29664569430881077
787,0.5399492051866319
788,0.8145989312065972
789,1.067837609185113
790,1.3334973653157551
791,1.5559196472167969
792,1.7578866746690538
793,1.950961748758952
794,2.1158239576551647
795,2.24967532687717
796,2.374664412604438
797,2.4783510631985135
798,2.580643230014377
799,2.6655695173475475
800,2.750335269504123
801,2.8099377950032554
802,2.8501982159084744
803,2.85614808400472
804,2.8461170196533203
805,2.818957964579264
806,2.7840953403049045
807,2.764831648932563
808,2.758180300394694
809,2.7497069040934243
810,6.894896825154622
811,7.0716370476616754
812,7.280492252773708
813,7.54294819302029
814,7.876587443881565
815,8.283240530225966
816,8.763116200764975
817,9.303705427381727
818,9.899988174438477
819,10.51797972785102
820,11.145727369520399
821,11.745052337646484
822,12.309057447645399
823,12.838560740152994
824,13.321912553575304
825,13.764940897623697
826,14.164738125271267
827,14.521176020304361
828,14.853750864664713
829,15.161445405748156
830,15.452761120266384
831,15.729124281141493
832,15.990882449679905
833,16.240158081054688
834,16.48082945081923
835,16.71654595269097
836,16.953514946831596
837,17.204695807562935
838,17.461706797281902
839,17.712491353352863
840,18.257052103678387
841,18.54458279079861
842,18.80213843451606
843,19.012315538194443
844,19.18000751071506
845,19.298297034369575
846,19.381336636013454
847,19.44175084431966
848,19.4693120320638
849,19.479539659288193
850,19.479056464301216
851,19.472919040256077
852,19.467014736599392
853,19.460809495713974
854,19.456331464979385
855,19.45478015475803
856,19.437196519639755
857,19.403152465820312
858,19.36727735731337
859,19.331804911295574
860,19.30086347791884
861,19.286503261990017
862,19.2892328898112
863,19.31272294786241
864,19.345707363552517
865,19.38238779703776
866,19.4200685289171
867,19.457651774088543
868,19.504000345865887
869,19.567489624023438
870,19.01393042670356
871,19.184578789605034
872,19.344749450683594
873,19.475648668077255
874,19.58430396185981
875,19.66899871826172
876,19.74421607123481
877,19.82018364800347
878,19.88680097791884
879,19.949094984266495
880,20.010087754991318
881,20.068912506103516
882,20.128211975097656
883,20.185881720648872
884,20.23843553331163
885,20.284639994303387
886,20.29969533284505
887,20.280532836914062
888,20.243920220269096
889,20.19646750556098
890,20.141775343153213
891,20.090293884277344
892,20.045276217990452
893,20.01119613647461
894,19.97826470269097
895,19.942957560221355
896,19.9044926961263
897,19.865612453884548
898,19.84061770968967
899,19.84342363145616
900,15.027544233534071
901,14.948524898952908
902,14.839909871419271
903,14.698980119493273
904,14.529376559787327
905,14.336020151774088
906,14.13180669148763
907,13.93373277452257
908,13.736793729994032
909,13.558031717936197
910,13.40518315633138
911,13.270630306667751
912,13.162070380316841
913,13.071174621582031
914,12.993161943223742
915,12.927382787068685
916,12.861638598971897
917,12.790586683485243
918,12.719980875651041
919,12.650393380059135
920,12.587703069051107
921,12.537402047051323
922,12.503954569498697
923,12.492106755574545
924,12.500581741333008
925,12.529661390516493
926,12.581026289198133
927,12.653965420193142
928,12.753516303168404
929,12.882322735256619
930,14.353152381049263
931,14.270896911621094
932,14.189232720269096
933,14.110946655273438
934,14.043839772542318
935,13.993085225423178
936,13.96450678507487
937,13.964770634969076
938,13.978956010606554
939,14.00480482313368
940,14.04002825419108
941,14.063987731933594
942,14.07952520582411
943,14.081931644015842
944,14.069135453965929
945,14.047917260064018
946,14.011688232421875
947,13.961387210422092
948,13.910317950778538
949,13.86275185479058
950,13.827198876274956
951,13.806543350219727
952,13.802423477172852
953,13.814871046278212
954,13.839332792494032
955,13.872886233859592
956,13.915589650472006
957,13.967059453328451
958,14.027945200602213
959,14.09701665242513
960,13.616449568006727
961,13.510154088338217
962,13.442452748616537
963,13.416593339708117
964,13.442858590020073
965,13.527838389078775
966,13.675927056206596
967,13.887235853407118
968,14.153484768337673
969,14.447290632459852
970,14.76498285929362
971,15.06884045071072
972,15.359244876437717
973,15.638675689697266
974,15.903905232747396
975,16.17089377509223
976,16.43447134229872
977,16.689991421169704
978,16.956462860107422
979,17.235994338989258
980,17.528584798177082
981,17.822515699598526
982,18.109972212049698
983,18.379063076443142
984,18.61653010050456
985,18.81296157836914
986,18.96569569905599
987,19.081030951605904
988,19.16254891289605
989,19.21316358778212
990,19.034432305230034
991,19.13977517022027
992,19.275131225585938
993,19.424209594726562
994,19.57924313015408
995,19.722298516167534
996,19.84427981906467
997,19.95196024576823
998,20.02248975965712
999,20.05700429280599
1000,20.049162970648872
1001,19.983516269259983
1002,19.867509206136067
1003,19.717653062608505
1004,19.563136630588108
1005,19.43434821234809
1006,19.330615997314453
1007,19.250768025716145
1008,19.199434916178387
1009,19.165632459852432
1010,19.142846001519096
1011,19.136471218532986
1012,19.150496588812935
1013,19.19718000623915
1014,19.265047709147137
1015,19.345357682969833
1016,19.431813557942707
1017,19.513049655490452
1018,19.593204922146267
1019,19.66910680135091
1020,19.72025129530165
1021,19.82885784573025
1022,19.913923475477432
1023,19.97399648030599
1024,20.028839111328125
1025,20.076209174262154
1026,20.134913126627605
1027,20.215401119656033
1028,20.30707041422526
1029,20.41675567626953
1030,20.541756947835285
1031,20.67654079861111
1032,20.810894436306423
1033,20.943408542209202
1034,21.07702679104275
1035,21.214616563585068
1036,21.338882446289062
1037,21.450600094265408
1038,21.566942003038193
1039,21.689186096191406
1040,21.81679407755534
1041,21.959410773383247
1042,22.115982903374565
1043,22.286783854166668
1044,22.459288703070747
1045,22.628631591796875
1046,22.791239420572918
1047,22.94488059149848
1048,23.08716032240126
1049,23.214378356933594
1050,24.389190673828125
1051,24.678315056694878
1052,24.954068925645615
1053,25.198095109727646
1054,25.425465901692707
1055,25.623241000705296
1056,25.805433061387802
1057,25.97982194688585
1058,26.128198835584854
1059,26.255052354600693
1060,26.3562986585829
1061,26.435521443684895
1062,26.48490481906467
1063,26.517418755425346
1064,26.553770701090496
1065,26.60699208577474
1066,26.658507453070747
1067,26.712265014648438
1068,26.788741217719185
1069,26.888198852539062
1070,27.002682156032986
1071,27.14314142862956
1072,27.305749257405598
1073,27.4911371866862
1074,27.674020131429035
1075,27.839603424072266
1076,27.975504133436417
1077,28.07241439819336
1078,28.13328637017144
1079,28.158834245469833
1080,27.833326127794052
1081,27.704815334743923
1082,27.582293616400825
1083,27.45716730753581
1084,27.360064188639324
1085,27.298058403862846
1086,27.292423248291016
1087,27.34946780734592
1088,27.46013005574544
1089,27.60569890340169
1090,27.786437140570747
1091,27.99952612982856
1092,28.231998019748264
1093,28.483197953965927
1094,28.74732123480903
1095,29.012930128309463
1096,29.24180136786567
1097,29.42394044664171
1098,29.584954579671223
1099,29.728058709038628
1100,29.848403930664062
1101,29.953793419731987
1102,30.04792743259006
1103,30.13263490464952
1104,30.199063618977863
1105,30.24826897515191
1106,30.28251224093967
1107,30.306542714436848
1108,30.325595008002388
1109,30.343577067057293
1110,31.031699710422092
1111,31.417367723253037
1112,31.842799716525608
1113,32.26661046346029
1114,32.688961029052734
1115,33.07311587863498
1116,33.412882486979164
1117,33.699328104654946
1118,33.89862272474501
1119,34.002085791693794
1120,34.004529317220054
1121,33.91782760620117
1122,33.7261962890625
1123,33.444368574354385
1124,33.104822370741104
1125,32.7282969156901
1126,32.29863272772895
1127,31.832330491807724
1128,31.34667714436849
1129,30.8480707804362
1130,30.329899258083767
1131,29.811242421468098
1132,29.29666519165039
1133,28.793894449869793
1134,28.28688727484809
1135,27.76845932006836
1136,27.234573364257812
1137,26.674296061197918
1138,26.091747283935547
1139,25.491422017415363
1140,23.43481699625651
1141,22.715437147352432
1142,21.965132819281685
1143,21.192792256673176
1144,20.402357313368057
