GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 17:00:44 GMT+09:00 2021,02-2월-2021 17:00:47.776,127.0400326140225,37.56597029976547,1.39,5.0,49.0,183.8,7.33703089,-6.41167212,9.80665016,0.42820734,
Tue Feb 02 17:00:45 GMT+09:00 2021,02-2월-2021 17:00:48.775,127.04003789462149,37.56595278158784,1.04,5.0,50.0,175.6,2.80121589,-3.25252295,9.2356329,0.05716819,
Tue Feb 02 17:00:46 GMT+09:00 2021,02-2월-2021 17:00:49.775,127.04003638587892,37.56594255566597,1.01,5.0,50.0,163.6,2.39779305,-2.56418991,9.58758068,0.05978507,
Tue Feb 02 17:00:47 GMT+09:00 2021,02-2월-2021 17:00:50.775,127.04004493542016,37.56593090482056,1.61,5.5,50.0,158.9,2.97718978,-2.91853189,9.15063858,0.04403859,
Tue Feb 02 17:00:48 GMT+09:00 2021,02-2월-2021 17:00:51.775,127.04005147330463,37.56590454373509,2.57,5.0,50.0,172.0,3.30998397,-3.94325018,8.83101273,0.06101149,
Tue Feb 02 17:00:49 GMT+09:00 2021,02-2월-2021 17:00:52.775,127.0400532335043,37.565878266468644,2.36,4.5,50.0,176.4,3.31477237,-4.0138793,8.89685345,0.06975502,
Tue Feb 02 17:00:50 GMT+09:00 2021,02-2월-2021 17:00:53.775,127.04006379470229,37.56585349794477,1.61,5.0,50.0,171.6,3.13041878,-4.01268196,9.00818348,0.07368141,
Tue Feb 02 17:00:51 GMT+09:00 2021,02-2월-2021 17:00:54.776,127.04007033258677,37.56583388429135,1.0699999,4.0,51.0,163.5,3.10767388,-3.16154337,9.16261005,0.05658644,
Tue Feb 02 17:00:52 GMT+09:00 2021,02-2월-2021 17:00:55.776,127.04007485881448,37.565815318375826,0.29999998,4.5,51.0,159.0,3.08852029,-3.07056379,9.08719254,0.04620928,
Tue Feb 02 17:00:53 GMT+09:00 2021,02-2월-2021 17:00:56.776,127.04008977860212,37.56580517627299,0.099999994,3.5,51.0,157.2,2.9089551,-3.07774639,9.16620159,0.04827791,
