GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),
Tue Feb 02 18:25:02 GMT+09:00 2021,02-2월-2021 18:25:06.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.68270302,-2.97359848,9.35175228,0.05602568,
Tue Feb 02 18:25:03 GMT+09:00 2021,02-2월-2021 18:25:07.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.70784211,-3.00951147,9.45589924,0.06753081,
Tue Feb 02 18:25:04 GMT+09:00 2021,02-2월-2021 18:25:08.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.67552042,-2.93768549,9.36252594,0.0557794,
Tue Feb 02 18:25:05 GMT+09:00 2021,02-2월-2021 18:25:09.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.64319873,-2.99155498,9.48702431,0.0682041,
Tue Feb 02 18:25:06 GMT+09:00 2021,02-2월-2021 18:25:10.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.69347692,-2.95564198,9.20091724,0.04166287,
Tue Feb 02 18:25:07 GMT+09:00 2021,02-2월-2021 18:25:11.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.55820441,-2.94845939,9.42238045,0.05865079,
Tue Feb 02 18:25:08 GMT+09:00 2021,02-2월-2021 18:25:12.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.71143341,-2.94127679,9.27753162,0.04889244,
Tue Feb 02 18:25:09 GMT+09:00 2021,02-2월-2021 18:25:13.302,127.04173841513693,37.56502955686301,0.0,3.5,44.0,0.0,2.54144502,-2.93169999,9.35534286,0.05141515,
Tue Feb 02 18:25:10 GMT+09:00 2021,02-2월-2021 18:25:14.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.72699571,-2.99873757,9.44512558,0.06671649,
Tue Feb 02 18:25:11 GMT+09:00 2021,02-2월-2021 18:25:15.302,127.04173841513693,37.56502955686301,0.0,4.0,44.0,0.0,2.54024792,-2.94007969,9.39005947,0.0549013,
